name_original,name_corrected,Match,HMDB,PubChem,ChEBI,KEGG,METLIN,SMILES,Comment
PC 35:2,PC(35:2),PC(35:2),HMDB0008330,52923157,NA,C00157,NA,CCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCC/C=C\C/C=C\CCCCC)COP(=O)([O-])OCC[N+](C)(C)C,1
PC 35:5,PC(35:5),PC(35:5),HMDB0008494,53479123,NA,C00157,NA,CCCCCCCCCCCCCCC(=O)OC(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,1
PC 36:0,PC(36:0),PC(14:0/22:0),HMDB0007886,24778638,NA,C00157,NA,CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,1
PC 36:1,PC(36:1),PC(14:0/22:1(13Z)),HMDB0007887,53478609,NA,C00157,NA,CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC/C=C\CCCCCCCC,1
PC 36:2,PC(36:2),PC(18:1(9Z)/18:1(9Z)),HMDB0000593,6437081,NA,C00157,5572,CCCCCCCC/C=C\CCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\CCCCCCCC,1
PC 36:3,PC(36:3),"PC(14:1(9Z)/22:2(13Z,16Z))",HMDB0007921,52922294,NA,C00157,NA,CCCCC/C=C\C/C=C\CCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCC)COP(=O)([O-])OCC[N+](C)(C)C,1
PC 36:4,PC(36:4),"PC(14:0/22:4(7Z,10Z,13Z,16Z))",HMDB0007889,52922238,NA,C00157,NA,CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC,1
PC 36:5,PC(36:5),"PC(14:0/22:5(4Z,7Z,10Z,13Z,16Z))",HMDB0007890,53478611,NA,C00157,NA,CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC,1
PC 36:6,PC(36:6),PC(36:6),HMDB0008722,52923675,88654,C00157,NA,CCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)([O-])OCC[N+](C)(C)C,1
PC 37:1,PC(37:1),PC(37:1),HMDB0008560,53479169,NA,C00157,NA,CCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCC/C=C\CCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,1
