iph_cir_fc,iph_hc_fc,iph_cir_p,iph_hc_p,metabolite
1.139613003,-1.504383311,0.748239915,0.006970867,ChoE(20:3)
1.077324885,-1.67473814,0.914731605,5.60304E-06,ChoE(20:4)
1.065446088,-2.186737452,0.999947723,0.0008854,ChoE(20:5)
1.032011087,-1.021246901,0.999947723,0.999996517,ChoE(22:4)
1.119422086,-1.401921124,0.850440128,0.051965527,ChoE(22:5)
-1.045749355,-1.929024158,0.999947723,0.000211174,ChoE(22:6)
-1.070534584,-1.225041117,0.93031045,0.164041103,ChoE(17:1)
-1.200229238,1.348585073,0.168343636,0.006372392,PC(16:0/16:0)
-1.988624931,1.053423831,0.000698842,0.999996517,PC(32:1)
-1.192936512,-1.777608804,0.578319056,0.000193321,PC(14:0/18:2)
1.051675526,-1.056873217,0.936344734,0.935622973,PC(16:0/18:0)
-1.189686587,-1.108216081,0.058628239,0.398244314,PC(16:0/18:1)
-1.054090103,-1.169374718,0.735732227,0.00889783,PC(16:0/18:2)
-1.110948732,-2.832277326,0.944268643,4.63977E-08,PC(14:0/20:4)
-1.106882359,-1.024831282,0.769287265,0.999996517,PC(18:0/18:1)
1.027123757,-1.122309227,0.999947723,0.250265339,PC(18:0/18:2)
1.785301311,-1.18203455,0.007125468,0.763636263,PC(18:2/18:2)
-1.085134019,-1.487157338,0.745897812,5.18223E-06,PC(16:0/20:4)
1.022898169,-1.939885946,0.999947723,0.015733759,PC(16:0/20:5)
-1.314063737,-2.629608792,0.422286733,1.86695E-06,PC(18:3/18:3)
-1.101053742,1.014904496,0.750615902,0.999996517,PC(20:0/18:2)
-1.130790548,-1.270494166,0.728068826,0.134381436,PC(18:0/20:3)
1.006676667,-1.507798439,0.999947723,0.001413354,PC(18:0/20:4)
1.051756438,-1.244850308,0.938100004,0.027442369,PC(38:5)
-1.132698339,-1.285080502,0.787556163,0.18707729,PC(38:5)
1.657471704,-1.666853234,0.002647618,0.000848352,PC(18:2/20:4)
-1.149790034,-1.445470952,0.646898283,0.008747205,PC(16:0/22:6)
-1.104813128,1.003831689,0.845924616,0.999996517,PC(18:0/22:4)
1.092928146,-1.056396118,0.93031045,0.999996517,PC(20:0/20:4)
-1.35533495,-1.039965025,0.046702238,0.999996517,PC(40:5)
1.042861904,-1.238431937,0.999947723,0.095338155,PC(18:0/22:5)
-1.265944182,-1.375277626,0.384011126,0.132907863,PC(18:0/22:6)
1.40997967,-2.385509932,0.363064939,0.000428163,PC(20:3/20:4)
-1.06875863,1.097347065,0.999947723,0.935331626,PC(18:1/22:6)
1.404170728,-1.336903525,0.066953902,0.140355329,PC(40:8)
1.086485786,1.209983947,0.93031045,0.368043195,PC(22:4/20:4)
-1.224893379,1.003315735,0.4649166,0.999996517,PC(16:1/18:2)
-1.125651358,-1.242767553,0.918647493,0.496336797,PC(34:3)
-1.021108677,-1.093363483,0.999947723,0.516963344,PC(36:3)
-1.424224872,-1.780619522,0.100631705,0.001519807,PC(16:1/20:4)
-1.068496066,1.247263942,0.999947723,0.302303714,PC(31:0)
-1.539327209,-1.065604129,0.023630481,0.999996517,PE(16:0/18:1)
-1.471248188,1.068071147,0.11259413,0.999996517,PE(16:0/18:2)
-1.355289137,-1.047511947,0.128599737,0.999996517,PC(16:0/17:0)
-1.218476852,-1.153268559,0.180612303,0.436328037,PC(33:1)
1.159949655,-1.298382541,0.493327234,0.061788822,PC(15:0/18:2)
-1.032275667,1.178632363,0.999947723,0.743663951,PE(18:1/18:2)
-1.83595927,-1.351766678,0.002675319,0.208146074,PE(16:0/20:4)
1.309701703,1.171055775,0.861732094,0.999996517,PE(18:2/18:2)
-1.625851788,-1.3872027,0.135652721,0.436474117,PE(20:5/16:0)
-1.021833258,-1.288449812,0.999947723,0.228116272,PC(17:0/18:1)
-1.067155038,-1.202598113,0.922648546,0.170499898,PC(16:0/19:1)
1.222083696,-1.489237396,0.631163467,0.068110759,PC(17:1/18:1)
1.279885961,-1.16280069,0.115300491,0.48992183,PC(17:0/18:2)
1.087898027,-1.120606127,0.936344734,0.828401144,PC(17:1/18:2)
-1.008281283,-1.401621449,0.999947723,0.232746387,PC(15:0/20:3)
1.049139102,-1.908864131,0.999947723,7.78689E-06,PC(15:0/20:4)
-1.612694427,-1.606546913,0.010530471,0.008801606,PE(18:0/20:4)
-1.480732656,-1.297071111,0.024588634,0.202928889,PE(38:5)
-1.232018339,-1.623448162,0.730698669,0.058504937,PE(20:4/18:2)
-2.025985112,-1.528476554,0.009916801,0.187044393,PE(16:0/22:6)
1.309948546,-1.155757805,0.296828383,0.803026949,PC(37:2)
1.086871958,-1.176269508,0.921249336,0.453034156,PC(19:1/18:2)
1.03342654,-1.191228963,0.999947723,0.519512956,PC(17:0/20:3)
-1.078888065,-2.06062011,0.999947723,0.000132212,PC(17:0/20:4)
1.052258461,-1.557893471,0.999947723,0.001162607,PC(37:5)
-1.939348447,-1.942989855,0.023472082,0.02146314,PE(18:0/22:6)
1.055334141,-1.854589889,0.999947723,0.006015909,PC(15:0/22:6)
-1.358929717,1.231455134,0.123020445,0.413637427,PI(16:0/18:1)
-1.17051859,1.193682775,0.77965917,0.667189317,PI(16:0/18:2)
1.079643992,1.174351563,0.999947723,0.78246719,PI(18:0/18:1)
-1.134089366,1.122051488,0.82124557,0.849329178,PI(18:0/18:2)
