"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60"
"113309",1.1469,0.47917,2.67,-1.2635,-1.0402,-2.4137,-0.8737,-0.17785,0.8197,1.1523,0.16668,-1.1724,-0.069101,-0.28059,-0.37241,0.82608,-0.20056,-0.524,1.4224,-0.11765,0.10197,-0.53692,-0.90807,-0.083549,0.14823,-0.081421,-0.30157,0.088752,0.25976,-0.44,-0.31049,-0.025228,0.1822,-0.12476,-0.1783,0.012786,0.33571,-0.033933,-0.34842,0.055706,0.18215,-0.019776,-0.27925,0.21757,0.173,0.092741,-0.15106,-0.11305,-0.072287,0.10749,0.019855,0.12196,0.0028236,0.063262,-0.079926,-0.11897,-0.082756,-0.026911,-0.042104,7.8073e-16
"113310",1.4953,0.13737,1.458,-0.72513,0.75615,0.68763,0.081755,-0.63682,-0.040784,0.38689,-0.51979,0.091948,0.9168,-1.1283,-0.53706,0.30515,0.096929,0.56307,-1.1695,-0.31739,0.23913,-0.3546,-0.67538,0.7271,-0.51351,0.017685,0.31914,0.69364,-0.28023,-0.04864,0.099802,-0.54489,0.14324,-0.1713,-0.12815,0.062466,-0.07438,0.66359,-0.24723,-0.12147,-0.068343,-0.17405,-0.12868,0.098214,0.048608,0.12208,-0.030993,-0.0341,-0.1874,-0.1095,-0.032295,0.034788,0.22064,-0.07005,0.25929,-0.0082368,0.090198,0.085687,0.10026,5.4253e-16
"113311",1.5917,-0.51094,0.094604,0.5196,1.8089,-0.34646,0.5382,0.049961,0.98745,-0.56068,0.026299,-0.42489,-0.31408,-0.65568,0.54378,0.14458,-0.21198,0.0077834,-0.10649,0.27047,0.13744,0.11831,0.78696,-0.3457,0.07141,0.246,0.30445,-0.089009,0.38107,-0.50176,0.24334,-0.10846,-0.0031497,-0.0049983,-0.096891,-0.31729,-0.2349,-0.11111,-0.18557,0.33458,-0.053116,0.11348,-0.17949,0.053273,0.47237,-0.18042,-0.038613,-0.27784,0.014485,-0.1644,-0.46023,-0.084762,-0.16356,-0.030448,0.076045,-0.10965,0.1882,0.18072,-0.11092,7.4593e-16
"113312",1.5863,-0.67524,0.68366,0.31494,1.6325,0.48969,0.02259,-1.3524,0.66198,0.42969,-0.77801,-0.46581,-0.096463,-0.42126,0.31478,-0.54037,0.95478,0.0052219,0.32276,0.19673,0.085693,-0.45143,0.055996,-0.28927,-0.58514,-0.23604,-0.43192,0.18517,0.62635,-0.037885,0.1606,-0.32553,0.33966,-0.10237,-0.12593,0.015408,-0.26258,0.23663,-0.33058,-0.30953,-0.12822,-0.07338,-0.043321,-0.20023,-0.20679,0.014916,0.106,0.43199,0.26905,0.058321,0.088045,-0.084112,-0.36653,0.011641,-0.11383,0.077745,0.11025,-0.13157,-0.043766,7.7932e-16
"113315",1.7067,-0.82112,0.89486,0.12602,1.6421,1.1442,0.7196,-0.51591,0.21737,0.064581,0.93761,-0.48515,-0.28952,0.46722,0.72024,0.074464,0.50911,-0.10998,-0.62617,0.083771,0.50325,-0.14053,0.20017,0.50741,0.99278,0.29235,-0.20958,-0.29931,0.072276,-0.25941,0.13735,0.26575,0.22318,0.010813,-0.36343,0.14668,-0.07397,0.020104,-0.074053,-0.49808,0.33026,-0.06153,0.23177,-0.02517,0.10567,0.037639,-0.18847,-0.13687,0.21933,-0.22285,0.14199,-0.1201,0.12718,0.18881,0.11331,-0.18021,-0.23956,-0.11918,-0.0051383,5.2302e-16
"113316",1.7112,-0.90937,0.54973,-0.14491,1.247,1.1522,0.14415,-1.6452,-0.21734,-0.37085,0.22199,-0.087057,-0.70173,0.50288,-0.28281,-0.31277,-0.50088,0.39388,0.0061373,-0.37056,-0.17192,0.44037,0.13255,-0.30754,0.48068,0.34205,0.68877,-0.23838,-0.14333,-0.5728,-0.11103,0.071684,-0.035979,-0.15009,-0.13194,-0.0034469,-0.1568,0.33637,0.039591,0.050052,0.28814,0.28414,-0.19227,0.2058,-0.036923,0.083145,0.2137,0.13495,0.079721,0.23766,0.080485,0.28315,-0.025969,-0.18943,-0.26321,-0.028391,-0.08616,0.14317,0.21326,6.2884e-16
"113317",1.9061,-0.86672,2.0525,-1.0811,0.25523,0.54666,0.48684,-1.1814,0.64047,1.0114,1.8219,0.54016,-0.14016,-1.4454,-0.32328,0.29657,0.4963,-0.57488,-0.49616,0.17887,0.17562,0.70869,-0.2942,-0.15569,-0.35063,-0.93569,0.00061269,0.23821,-0.039421,0.063107,0.16192,0.58484,-0.42825,0.36082,-0.091938,-0.078864,0.37556,-0.41069,0.23207,0.049585,-0.31687,0.34626,0.041131,-0.15289,-0.031621,-0.20158,0.020656,0.060806,0.038342,-0.10725,-0.010105,0.023306,0.0039232,-0.072511,-0.03344,0.035244,-0.046142,0.010353,0.060886,3.5779e-16
"113318",1.5424,-1.7407,-0.51903,-0.2351,0.84001,0.86334,-0.34228,-1.4891,0.5249,0.71882,-0.61496,0.10408,-0.7657,0.67105,-0.43896,0.23658,-0.040249,-0.44347,-0.36981,0.36263,-0.10604,-0.58714,0.37694,-0.13473,0.0081511,-0.22859,-0.047587,0.178,-0.14512,0.55702,-0.51087,0.26726,-0.48539,0.1847,-0.56593,0.13598,-0.44929,0.16042,0.22259,0.54953,-0.13695,-0.21027,-0.16501,0.19963,-0.29863,0.048159,-0.049058,-0.30263,-0.14834,0.23552,0.14619,-0.086258,-0.00042358,0.15707,0.029149,0.014732,-0.02271,0.034631,-0.15322,5.872e-16
"113319",1.7863,-1.4787,-0.14109,-0.084161,0.78458,1.1732,-0.03152,0.5777,-0.46406,0.86439,-0.085981,0.3955,0.10039,-0.1548,-0.066918,0.38845,-0.79663,-0.038804,-0.14166,-0.15058,0.34851,0.42344,0.46221,0.23654,0.050068,-0.23573,-0.29133,-0.4338,-0.83562,0.24699,-0.9871,0.53272,0.86996,-0.37077,0.36931,-0.097702,0.033747,-0.086426,-0.3128,-0.11605,-0.23407,-0.030667,-0.14191,0.20623,0.028937,0.10488,-0.033973,0.21643,-0.25622,-0.10277,-0.20099,-0.059571,-0.21043,0.0036525,-0.020923,0.032705,-0.083765,-0.041814,-0.034317,5.4297e-16
"113320",-4.4981,-0.93522,2.6848,0.19292,-1.4814,0.32268,0.1373,-0.63365,0.28958,-1.3975,0.04011,-0.84702,-0.41721,0.91131,-0.086433,0.88364,0.21393,1.0222,-0.3201,-1.4042,0.90628,-0.10829,0.40264,-0.018365,-0.33129,0.27593,-0.07658,0.67634,-0.34505,-0.23042,0.066455,-0.023818,0.019108,0.17008,-0.15186,-0.012305,0.11824,-0.22613,0.34524,0.10733,-0.032706,-0.012138,0.049726,-0.15838,0.071905,0.13643,-0.056567,-0.040523,-0.11133,0.046928,-0.10867,-0.10317,-0.18507,-0.081856,-0.046761,0.12754,-0.065475,-0.12182,-0.046679,1.0408e-16
"113321",2.0073,-1.8066,0.073031,0.41134,0.81171,0.17434,0.4912,-2.4128,-0.0014328,-1.3915,-1.1663,-0.62317,0.38515,-0.68398,0.63061,-1.0541,-1.0453,0.68462,1.0568,0.064551,-0.50431,0.11534,0.040639,0.017136,0.061094,-0.23612,-0.18577,-0.033052,-0.39728,0.35442,0.16198,0.23503,0.099667,0.3516,0.23285,-0.2061,0.58655,-0.18639,-0.091624,-0.12392,-0.075625,-0.1566,0.12598,-0.038417,0.066823,0.13725,-0.10566,-0.26201,-0.040218,-0.094917,0.1769,0.020149,0.15609,-0.012897,-0.011571,0.080925,0.078827,-0.019436,-0.031468,9.2472e-16
