"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60"
"Methionine",0.08698,-0.14423,0.16996,0.0046844,0.040999,-0.075583,0.086385,0.082253,-0.037214,-0.1521,-0.12132,0.30874,0.1053,0.036498,0.01713,0.071088,0.08757,0.20711,0.11389,-0.069306,0.12467,-0.1209,-0.054346,-0.12258,0.11727,-0.020782,-0.078641,-0.018037,0.038066,0.097746,-0.003884,0.065943,-0.051061,-0.059823,-0.086186,0.13236,0.0182,0.074244,0.025512,0.063852,0.030171,0.092835,-0.077213,0.15339,-0.10153,-0.046111,-0.088194,0.040605,0.070565,0.096095,-0.013031,0.041428,-0.033883,-0.011568,0.11941,-0.09195,-0.04465,-0.074955,0.045481,-0.0082329
"Muconic acid",-0.038787,0.068291,-0.11517,0.026889,0.042553,0.050309,-0.060827,-0.01938,-0.067786,0.072785,0.029717,-0.13871,-0.17787,-0.11629,-0.0040845,0.03646,-0.037666,0.024345,-0.041919,0.019475,-0.018945,-0.040413,0.047522,0.099258,0.046769,-0.015868,0.024355,0.02223,0.11188,-0.091425,0.022126,-0.0072008,0.078774,0.20768,0.12272,0.05829,0.11194,0.072543,0.13384,-0.0078998,-0.09907,-0.089431,-0.013388,-0.028624,-0.049061,0.063593,-0.10394,-0.067121,-0.052584,0.0089055,-0.045768,0.048181,-0.090426,-0.052147,0.010057,-0.13259,-0.1425,-0.03872,0.047611,0.093928
"Myristoylcarnitine",-0.015285,0.041391,0.042728,0.047079,0.043059,-0.016662,0.038545,0.045499,-0.0039493,-0.010979,0.023535,0.037878,0.018195,-0.0075272,-0.0023237,0.018527,-0.065573,0.014309,-0.060658,0.088069,-0.048696,-0.033991,-0.091273,0.022803,0.14791,-0.072293,-0.0034104,0.027112,-0.053507,-0.093438,0.021016,0.0042008,-0.058227,0.095829,-0.043443,-0.032676,-0.17623,-0.012214,0.036554,0.037441,-0.1473,-0.032923,0.034403,-0.10376,-0.061598,0.14704,-0.034161,0.072296,0.029458,-0.063352,0.0098442,-0.0082881,0.22745,0.00063052,0.011446,0.061544,-0.12315,0.059322,-0.066206,0.0082453
"N-Acetyl galactosamine",0.011776,0.016511,0.011476,0.018744,-0.054466,-0.039883,0.02751,0.029441,-0.035336,0.015175,-0.0087642,-0.10016,0.061163,-0.0114,-0.0037455,0.098462,0.0094502,-0.036369,0.010789,-0.085538,0.01072,0.10707,0.024152,-0.012911,-0.098722,-0.035926,0.059775,-0.028632,-0.055033,-0.17215,0.023881,0.02885,-0.030877,0.010361,-0.032341,-0.021096,0.087748,-0.079756,0.067018,0.15719,0.059593,0.043841,0.11689,0.045687,-0.24734,-0.18587,-0.025935,-0.13277,-0.011203,-0.2193,-0.12956,0.10391,0.12676,-0.059986,0.12253,-0.14489,0.10099,0.22755,-0.044738,-0.030432
"N-Acetylglutamic acid",-0.0024918,0.0019231,0.035335,0.046724,-0.013208,-0.03295,0.0089812,-0.011705,0.012842,-0.011399,-0.058748,-0.011558,0.020385,0.018952,0.020754,-0.055722,0.0021803,0.10224,0.022067,0.12265,0.041721,-0.050877,-0.021873,0.03319,-0.016704,-0.048905,-0.049223,-0.022684,0.05565,-0.013458,-0.0061331,-0.10798,0.0084464,0.061257,0.020337,0.030195,0.040984,-0.10581,-0.085046,0.043589,0.078293,0.027418,0.084917,-0.13906,0.070469,-0.081907,-0.15231,0.074848,-0.041474,0.032532,0.074293,0.12714,-0.086215,-0.13662,-0.026411,-0.12146,0.12188,0.024623,-0.064379,0.091164
"N-Acetylneuraminic acid",0.011772,-0.0033845,0.035281,0.015765,-0.041991,-0.058577,-0.0097858,0.024151,-0.014171,0.04523,0.03779,0.00038921,0.071456,0.034376,0.012768,0.043605,0.065391,-0.059311,0.011355,-0.0096562,0.017361,-0.037678,0.0025221,-0.0031446,-0.050029,0.0070133,0.09012,0.010349,-0.019548,0.0042272,0.017194,-0.025267,0.014257,-0.020764,-0.0082587,0.050776,0.061938,-0.030926,0.010871,-0.0044355,0.1047,-0.013872,0.1337,0.018213,0.047665,-0.11215,0.030851,-0.026408,-0.12249,0.0034169,0.00023543,0.078921,-0.0097478,0.10106,-0.12461,-0.012245,-0.15242,-0.0049147,-0.019459,-0.021582
"N-Carbamoyl-aspartic acid",-0.015913,0.064907,0.0014402,0.053219,0.0045877,-0.010917,-0.060383,-0.023997,-0.001399,0.056185,0.032659,-0.063842,0.026936,-0.022067,-0.068936,-0.12184,-0.069756,0.012624,-0.037308,-0.043561,-0.01478,0.030933,0.09461,-0.02698,-0.053996,0.047954,-0.1123,0.060433,-0.087099,-0.025509,0.011115,-0.16711,-0.045923,0.055509,-0.079786,-0.069477,0.055872,0.050574,0.12673,-0.01018,0.29352,0.034052,0.049191,-0.053542,-0.099528,0.15839,0.0025121,0.12496,0.15249,-0.06552,0.0095304,0.13508,-0.092552,-0.097449,0.052805,0.128,0.041731,-0.010399,0.04683,-0.062283
"N-Carbamyl-glutamic acid",-0.078374,0.16774,-0.082155,0.015559,-0.10539,0.094286,-0.018491,-0.062119,0.062852,0.049464,0.10067,-0.072516,0.061667,0.0083563,-0.069295,-0.011654,-0.11358,-0.03235,-0.00096436,0.030008,-0.010306,-0.17443,0.15101,-0.13373,-0.1133,0.14857,-0.13421,-0.083571,-0.034555,-0.092558,0.054288,-0.056427,0.11193,0.05287,-0.093324,0.21429,0.25203,-0.13556,0.090715,-0.049139,-0.002678,0.070196,-0.26376,0.17933,0.037962,0.0097982,-0.29293,0.062229,0.12859,0.0050648,0.0044689,0.060567,0.076301,0.10054,0.028653,0.065441,0.0078259,0.0010644,-0.053513,0.12792
"N-Formyl-Tyrosine",-0.090498,0.20266,-0.14489,0.13261,0.16138,-0.012072,-0.22578,0.18019,-0.062647,-0.12722,0.022093,0.21999,0.01501,0.14919,-0.078292,-0.23648,-0.016395,-0.079174,-0.0093921,0.0031242,0.028829,0.071453,-0.17424,-0.015179,0.072795,-0.27089,0.098415,0.10264,0.17512,0.09708,0.059115,0.1234,0.038789,0.20864,-0.111,-0.053199,0.043498,0.0090067,0.10432,-0.13307,0.036011,0.0064586,0.1127,0.12581,-0.067119,0.061166,0.02203,-0.046329,-0.079665,-0.086301,-0.051852,-0.045467,-0.016291,0.08405,-0.078909,0.049709,-0.084177,-0.029701,-0.011377,0.026887
"Nicotinamide adenine dinucleotide",6.5581e-05,-0.13719,-0.18851,0.090723,-0.04685,0.074801,-0.062853,0.092865,-0.10018,0.092244,-0.0191,-0.084563,-0.108,0.097251,-0.14821,-0.065153,0.025386,-0.041164,-0.14466,0.15804,0.13654,-0.16248,0.0057596,-0.086162,-0.058622,-0.039097,-0.020801,-0.042039,-0.16034,0.016021,-0.1196,0.062676,-0.12892,-0.12372,0.01434,-0.10286,0.14112,-0.017793,-0.21506,0.066014,-0.14557,-0.01941,0.077266,-0.0028303,0.081216,-0.072204,-0.090706,0.05945,-0.15411,0.0081263,-0.045939,-0.028612,-0.034513,-0.0059386,0.073263,0.072002,-0.11772,0.082409,0.062144,-0.054322
"O-Phosphorylethanolamine",-0.014207,-0.014199,-0.13425,0.029237,-0.074719,0.042444,-0.031241,-0.053761,-0.06672,-0.027387,-0.049835,0.074228,-0.025485,0.13176,-0.013477,-0.029612,0.025793,0.070044,-0.08948,-0.16833,-0.035258,0.011585,0.041792,0.084652,-0.034014,-0.027969,0.031346,-0.06706,0.077929,0.064197,0.0032345,-0.01203,0.055615,-0.13081,0.076308,0.059156,0.056262,0.15151,-0.054774,-0.24063,0.051432,-0.052985,0.14324,0.084415,-0.19848,-0.091613,-0.06877,0.025358,0.015343,0.10204,0.15606,0.089693,0.037384,-0.14146,0.1255,0.0038922,-0.034607,-0.090043,0.17634,0.016138
"Octanoylcarnitine",-0.0031656,-0.001844,0.068752,0.17721,0.19734,-0.16776,0.077169,0.0324,-0.19083,0.079882,0.20322,-0.25765,0.011678,0.20833,0.16406,0.17018,-0.45509,0.036268,0.07703,-0.015999,0.02078,-0.064483,-0.0034978,0.06269,0.14126,0.037004,-0.017777,0.025635,-0.047037,0.0067306,0.13892,0.23069,-0.10462,-0.0066025,0.19867,-0.014637,-0.056736,-0.047785,-0.1087,-0.12824,-0.062361,-0.043331,-0.091673,0.024346,0.050094,0.039442,0.045593,0.051168,0.024129,0.00077748,-0.084978,0.09029,-0.019467,0.003546,0.035695,-0.030015,0.04591,-0.049616,0.13071,-0.041654
"Orotic acid",-5.3044e-05,0.054906,0.030933,0.047425,0.047316,0.039626,0.023536,-0.015823,0.015137,0.010646,-0.04868,-0.070585,0.012438,0.012116,0.031634,0.028441,0.0028548,0.070879,-0.064474,0.036101,-0.022947,-0.035563,0.022169,0.058014,0.02004,-0.035407,-0.019272,0.0476,-0.030067,-0.047,-0.04329,-0.078285,-0.0055913,0.020331,-0.016545,0.024296,-0.041097,-0.093562,0.015309,-0.0064286,0.0166,0.010907,0.11784,0.075046,-0.053699,0.036953,0.053355,-0.096327,-0.1055,0.089742,0.016294,0.029134,-0.044849,-0.034694,0.025642,-0.039005,0.16631,0.049661,0.035248,0.02561
"Oxamic acid",-0.0077371,0.025567,0.02851,0.028391,0.011285,0.012584,-0.060338,-0.028412,0.035248,0.0072937,0.0043898,0.073844,0.044764,-0.0036313,0.0068536,0.037178,0.005335,-0.035292,-0.029795,0.037327,-0.0063922,-0.039106,-0.062814,0.045466,-0.034677,0.018556,0.052036,0.024428,-0.069819,-0.035191,0.00045098,0.027713,-0.062935,-0.029757,-0.10063,-0.12632,-0.032582,0.022755,0.040471,0.18945,0.0091903,0.017496,0.057659,0.031022,0.13137,0.073188,0.064681,-0.1208,-0.080893,0.15871,0.12292,0.17937,-0.14892,0.081023,0.048936,-0.0085677,-0.040759,0.026657,0.075767,-0.03418
"Palmitoylcarnitine",0.00078205,0.018995,0.02668,0.022962,0.02432,0.0023487,0.019611,1.3557e-05,-0.028476,-0.00046073,0.026207,0.0051714,0.0011682,-0.00067696,-0.011725,0.060236,-0.038434,0.045538,0.001961,0.034642,-0.013913,-0.025719,-0.0036627,-0.030469,0.027752,0.0059092,0.015751,-0.0075822,0.00044742,0.00373,-0.0011615,0.0016326,0.0026397,0.001952,-0.017001,0.048092,0.0033079,-0.0042051,0.024812,-0.015161,-0.069173,0.067148,0.048383,-0.022661,-0.063274,0.079184,-0.061223,-0.086299,-0.048387,-0.042143,-0.039258,-0.022073,0.10805,-9.4688e-06,0.090444,0.16262,0.062015,-0.13521,-0.076304,-0.022024
"Pantothenic acid",0.0074457,0.010728,0.014249,0.032816,0.035792,0.03599,0.014225,-0.0040638,-0.031816,0.056699,0.0016573,0.076076,-0.07754,-0.013189,-0.0019745,0.015104,0.034776,0.071045,0.021468,-0.012707,-0.045606,-0.02769,-0.015175,-0.0166,0.096664,0.021825,-0.01558,0.15253,-0.033559,-0.044001,-0.0036126,0.069385,0.034214,-0.139,0.028671,0.064893,0.012375,-0.016968,0.022447,0.086043,0.03256,0.0022882,0.033844,-0.20142,-0.0080311,0.054067,-0.12924,-0.019391,0.046878,-0.04423,-0.15858,-0.0405,0.073385,-0.019643,-0.028133,-0.023453,0.014829,-0.036923,0.042766,0.011251
"Pentahydroxyhexanoic acid",0.0048547,0.054562,0.0069085,0.015565,-0.06054,-0.023611,0.017758,-0.052224,0.010485,0.049206,0.054039,-0.10639,0.063416,0.034413,-0.0074021,-0.041074,0.056888,-0.031292,-0.03871,0.026088,-0.10139,0.017004,0.0098702,0.026435,-0.026735,-0.03794,0.08505,-0.010489,-0.063788,0.066845,-0.01965,-0.0042644,0.035122,-0.13661,-0.026523,0.059325,-0.075062,0.060352,-0.10741,-0.018576,-0.0085241,-0.012011,0.14381,-0.0037825,-0.076468,-0.09517,-0.033694,0.0044054,0.021252,-0.085865,-0.011444,-0.018273,-0.1858,0.035999,-0.1268,0.031496,0.076877,0.021939,0.0092951,0.01014
"Pentose",0.002063,-0.0066459,0.021724,0.010447,0.0019995,-0.0066076,-0.0048222,0.005505,0.0061334,0.0034703,0.007703,0.0048435,0.0027854,0.031751,-0.0088053,-0.018834,-0.0036823,0.01027,-0.022015,0.022306,-0.025011,0.0052797,-0.026186,-0.013355,0.023698,0.015454,0.015691,-0.016135,-0.044811,0.042621,0.026942,-0.030683,-0.015042,-0.0091003,-0.015002,0.029567,0.069999,0.02907,-0.024817,0.0054953,-0.060253,-0.0108,-0.00029385,0.020528,0.01282,-0.01449,0.038876,-0.0013431,0.053669,0.012303,-0.089645,-0.032399,-0.065211,0.055106,-0.035167,-0.027915,0.037537,-0.056998,-0.028173,-0.19192
"Phenylalanine",-0.0029968,0.0090818,0.0018631,0.012113,-0.0037902,-0.0060109,0.019699,-0.010969,-0.0066084,0.0074877,-0.0065011,0.0057424,0.00099656,-0.01631,-0.0036463,-0.013268,-0.010867,0.0044576,0.037806,-0.039072,-0.0062541,-0.0060589,-0.033149,-0.033077,0.018425,-0.041281,-0.0363,0.0046503,0.0055698,-0.0086506,0.012264,0.011062,-0.017901,-0.037837,-0.012881,-0.012548,-0.00040115,-0.023126,0.0124,-0.022695,-0.046902,-0.023846,-0.026548,-0.057343,0.045556,0.040255,-0.02141,-0.10133,-0.0029125,0.020821,0.0016038,0.0038505,-0.020283,-0.039008,0.060896,0.016997,0.010859,-0.072793,0.077053,0.13484
"Phenylpyruvic acid",0.044979,-0.068342,0.00054143,0.039359,0.011656,0.028628,-0.019323,-0.012911,0.034892,-0.015546,0.027974,0.05381,0.010351,-0.042913,-0.020703,-0.022388,-0.01068,-0.038923,-0.0077789,-0.049232,0.0071799,0.007948,-0.012519,-0.026322,0.081541,-0.021263,0.033974,-0.0255,0.00086746,-0.029232,0.017764,0.016363,-0.00094029,0.080339,0.06736,-0.028432,-0.023918,-0.027681,-0.021658,-0.05542,-0.026613,-0.0008727,-0.077134,-0.043608,0.015089,-0.089838,-0.044291,-0.010497,0.099442,-0.14607,-0.049376,0.0041915,0.083025,-0.047861,-0.017717,0.075597,-0.22255,0.096212,0.1538,-0.01363
"Phosphoenolpyruvic acid",0.00032682,-0.00054341,-0.029573,0.030492,0.02838,0.021457,-0.10314,-0.0031714,-0.0071415,-0.049988,0.02511,-0.0063777,0.042925,0.0016124,0.025993,-0.0086491,-0.015908,-0.020182,-0.075064,-0.016541,0.019259,-0.061913,0.013576,-0.092241,-0.007878,0.05257,-0.038663,-0.029096,-0.081718,-0.056478,0.056587,0.026394,0.067942,-0.099535,-0.051838,0.12731,-0.071452,-0.030066,0.06133,0.011622,0.05936,-0.014314,-0.0015964,0.07701,-0.0023841,-0.015334,0.14246,-0.0055246,-0.065804,-0.1111,0.17265,-0.015682,-0.093247,0.13144,-0.10164,0.0025693,-0.032715,-0.0087389,0.11038,-0.058962
"Phosphoglyceric acid",-0.0036925,0.013455,-0.012211,0.019063,-0.0083036,0.020006,-0.012498,-0.0099529,-0.0019841,-0.0045432,0.011372,-0.00072568,-0.012276,-0.0077746,-0.012018,-0.0010336,-0.0013906,-0.0013417,0.0081427,-0.011516,-0.012993,-0.0046496,-0.017297,-0.0066759,0.0087183,0.0019264,-0.025978,0.01816,-0.013324,-0.031643,-0.035505,0.050577,0.01545,-0.013528,-0.0086538,0.011319,-0.013578,0.023876,0.021901,-0.020419,-0.0074528,0.032075,-0.017762,0.0024597,0.014542,-0.051389,-0.032531,-0.051051,0.017711,-0.05598,-0.011641,-0.027388,0.047555,0.084694,-0.016109,-0.059827,0.042913,-0.012158,-0.029171,-0.049297
"Prephenic acid",0.044612,-0.12539,-0.042288,0.050335,0.0023108,0.092451,0.019726,-0.084791,0.035172,-0.021634,0.066009,-0.0019926,-0.014213,-0.0031574,-0.022467,0.050722,0.035521,0.049441,-0.093003,-0.061564,0.07046,-0.0014764,0.012037,-0.029032,-0.025505,0.0014677,-0.049906,0.094103,-0.025101,-0.069214,-0.012274,0.00029839,0.072124,-0.080627,-0.089477,-0.062386,-0.041402,0.029795,-0.012977,0.047946,0.035428,0.028741,0.056415,-0.014922,0.19286,0.04592,-0.029423,-0.097063,-0.057266,-0.1358,0.0031536,-0.10949,-0.092057,-0.14528,0.13461,0.0077528,0.080193,-0.013333,0.086568,0.026535
"Proline",0.0088425,-7.7257e-05,0.019068,0.028477,-0.019765,0.024358,0.017543,-0.0077807,-0.01002,0.026552,-0.02504,-0.025306,0.052849,-0.03876,0.030172,-0.0024049,-0.0016678,0.011162,0.018241,0.017305,0.01776,-0.030769,-0.020975,-0.0069172,-0.059304,0.0085932,-0.045372,-0.090154,0.051236,0.028005,-0.024785,-0.0015029,0.025938,-0.017963,-0.033823,0.035895,0.073706,0.052097,0.024649,0.01197,-0.048905,-0.010945,-0.023425,-0.034931,0.11177,0.078176,-0.0048688,-0.080156,-0.051285,0.0073599,-0.11955,-0.16824,-0.10646,0.035366,0.12423,-0.16602,-0.027284,-0.0060029,-0.049951,-0.020762
"Propionylcarnitine",0.089132,-0.12034,-0.21984,0.010358,0.058593,-0.31861,0.16587,0.138,0.067073,-0.53895,0.054737,-0.20555,-0.04852,-0.27479,-0.045679,0.058296,-0.12255,0.023019,-0.07414,0.15132,-0.030727,-0.0075008,0.13493,0.044583,-0.13436,0.025081,0.088084,-0.068309,0.057395,0.11428,-0.0029473,-0.023971,-0.042544,0.032231,-0.052667,-0.071054,0.11676,-0.024696,0.066912,0.0045359,0.014452,0.050371,0.15161,0.009987,-0.048554,0.078669,-0.084797,-0.037632,-0.085274,0.018407,-0.0076126,-0.13019,0.051375,0.040915,-0.016847,0.050536,-0.010122,-0.070372,-0.0056288,-0.031393
"Pyridinedicarboxylic acid",-0.88753,-0.34525,0.16642,0.10451,0.0074445,0.061971,0.061817,0.053995,-0.013462,-0.043477,0.018275,-0.054434,0.019834,-0.084173,-0.039402,-0.012184,-0.00075279,0.014161,-0.0057055,-0.033556,-0.042834,0.063036,-0.015321,-0.012104,-0.029021,0.0002034,0.025584,0.011333,0.022036,-0.0077087,-0.015477,-0.015604,-0.007773,-0.010432,-0.025011,-0.00023195,-0.0088419,-0.01202,-0.00071435,-0.029881,0.039258,-0.0016194,-0.026451,0.022933,-0.0038772,-0.019597,-0.018987,-0.023971,-0.025286,0.021789,-0.0093374,-0.037075,-0.0014606,0.0040019,-0.038221,0.00535,0.010248,0.0029301,0.011322,-0.019315
"Pyridoxal 5 phosphate",0.0027642,0.0059982,0.024029,-0.056975,0.034014,0.10159,-0.029024,0.069112,-0.048826,-0.043793,0.033332,0.037586,-0.053519,-0.023752,0.010617,-0.026481,-0.14201,-0.031552,-0.026454,0.018877,-0.025174,-0.027342,0.057315,0.038829,-0.0092741,-0.030378,-0.086802,-0.0094963,0.04143,0.016777,-0.052536,0.13067,0.21618,-0.10946,0.10085,-0.041236,-0.062087,0.039214,0.040851,0.055329,0.019015,-0.030063,-0.085281,-0.06779,-0.024209,0.089424,-0.056238,0.029045,-0.14218,-0.027889,-0.056568,-0.049,-0.2407,0.20861,0.011464,0.097672,-0.11635,0.081741,-0.16003,-0.06765
"Pyridoxal hydrochloride",0.071954,-0.022291,0.15388,-0.23251,-0.036804,0.33918,-0.048835,0.23484,-0.20624,-0.11905,-0.038645,-0.087973,-0.073016,-0.073749,0.0042528,-0.10432,-0.11286,0.12028,-0.028362,-0.008163,0.0078778,0.0051342,-0.11962,-0.067543,0.04279,0.034458,0.011158,-0.051472,-0.13597,0.14305,0.11772,-0.016807,0.053812,0.051203,-0.07011,-0.040119,-0.069161,-0.1777,0.095641,-0.18592,0.10829,-0.050496,0.13576,-0.043797,-0.00034439,-0.060234,-0.032542,-0.022663,-0.1648,0.004591,-0.036809,0.040531,0.076346,-0.1592,0.056656,-0.18475,0.11006,-0.04293,0.023354,0.0014999
"Pyridoxic acid",0.084929,-0.010166,0.19882,-0.32905,-0.063489,0.31337,-0.13029,0.25355,-0.28548,-0.11207,0.091383,-0.095957,0.047011,-0.075702,-0.024861,-0.1111,-0.071446,-0.016339,0.1213,0.0069444,-0.096198,0.029961,0.071409,0.027093,-0.072627,0.092813,-0.023056,0.11978,0.099002,-0.12386,-0.0038232,-0.14382,-0.22682,-0.057108,0.015384,-0.02609,0.069479,0.045644,-0.058915,0.041471,-0.099265,-0.049969,-0.089033,-0.023644,-0.080099,-0.014278,0.021719,0.014308,0.066305,0.029422,0.074341,0.0075953,-0.018689,0.095347,-0.097723,0.15251,-0.069373,0.0012947,0.038666,-0.048837
"Pyruvic acid",0.10217,-0.25331,-0.12589,0.054219,-0.085637,0.12747,0.029404,-0.092354,0.024682,0.025529,0.040139,-0.011695,0.029756,-0.055831,-0.031452,0.022669,0.082666,-0.061252,-0.015201,-0.0022241,0.01723,0.043858,0.043364,0.077776,-0.0030048,-0.099284,-0.10581,-0.012649,0.11348,0.092515,0.0037339,-0.0019352,0.088357,-0.06931,0.068699,-0.057173,-0.066053,-0.017407,-0.0188,-0.11215,-0.03004,-0.063862,-0.038655,-0.10589,-0.09825,-0.018094,-0.033561,-0.063129,0.019264,0.035611,-0.056973,0.035481,-0.075253,0.085271,-0.09202,-0.10004,-0.060869,0.042529,0.073973,-0.042797
"Quinic acid",-0.029527,-0.032667,0.093009,-0.22581,-0.21325,-0.10279,-0.076773,-0.06176,0.30594,0.034847,0.2266,0.029302,0.16899,-0.032884,-0.0080617,0.060085,-0.16922,0.11538,-0.14102,-0.060475,0.019314,-0.10382,-0.037269,0.11013,0.0051453,-0.20884,0.12109,0.0086359,-0.088777,-0.04536,0.20336,-0.1896,0.11726,-0.027932,0.068037,0.10163,-0.087516,0.029162,0.073385,0.0060764,-0.016808,-0.024821,0.0074587,-0.10643,-0.10438,0.0030757,-0.0079536,0.038716,-0.031074,-0.0085662,-0.0024495,-0.14018,-0.034361,-0.0097083,-0.012063,0.099376,-0.1088,0.016054,-0.058679,0.054526
"Riboflavin",0.013354,0.0018867,0.041469,-0.03921,-0.01832,0.0078603,-0.13733,0.1089,0.0068787,0.20622,0.13614,0.12866,-0.10783,-0.12894,0.054115,0.16154,0.046017,0.22061,0.25684,-0.17928,-0.16186,0.060681,0.25627,0.20806,-0.1538,-0.28596,0.043481,-0.29473,0.038855,-0.043873,-0.1657,0.16051,-0.034498,0.035031,0.0018091,0.0021241,0.12209,0.017122,-0.077674,-0.081928,0.0040344,-0.078604,0.079306,0.075432,0.039637,0.0044562,0.019419,-0.080716,0.036313,0.0097451,0.083869,-0.030221,0.090337,0.054954,0.0048574,0.059964,0.058053,-0.026155,-0.036549,-0.089606
"S-Adenosyl-homocysteine",0.054522,-0.023322,-0.012762,0.1139,-0.082227,-0.16925,0.028908,-0.046359,-0.057132,0.021392,0.018789,0.016945,0.13371,0.046797,0.053177,0.038075,0.16232,-0.0022795,0.00090355,-0.041043,-0.0099753,0.14416,-0.23848,0.055973,-0.22295,-0.030303,-0.043981,0.14432,-0.043783,-0.15677,-0.038955,-0.089045,-0.14864,0.20424,0.055035,0.12244,0.051776,-0.19135,-0.050848,-0.23199,0.031859,-0.1363,-0.091473,-0.08185,-0.0752,0.0063418,0.1126,0.0014352,-0.10515,0.14064,0.049525,-0.13723,-0.034457,-0.057752,0.011083,0.1199,0.036434,0.087726,0.042397,-0.060889
"Salicylic acid",-0.050994,0.0038027,0.11565,-0.13283,-0.22005,-0.25719,-0.41446,-0.33996,-0.16538,-0.052226,-0.15506,-0.24993,-0.30716,-0.028222,-0.074366,0.1402,-0.034922,0.0076735,0.069205,-0.10638,0.19272,-0.0072397,-0.12427,-0.09633,0.1701,-0.017689,0.066223,0.013069,0.10401,0.18781,-0.13795,-0.019601,-0.088292,-0.026898,-0.09637,0.028442,-0.0552,-0.02665,-0.037307,0.012183,-0.011436,0.053613,-0.06767,0.015266,-0.039235,0.073475,-0.0036171,-0.059652,0.0064354,-0.042292,0.10248,-0.0017363,0.067379,0.0062521,-0.00074841,0.051037,-0.018262,0.011225,-0.055707,0.020027
"Sedoheptulose-7-phosphate",-0.10878,0.094363,-0.0063444,-0.16287,-0.049402,-0.052096,0.065076,-0.058666,-0.038564,-0.091916,-0.16211,0.20969,-0.16595,0.06884,0.01787,0.04551,0.12388,0.20152,-0.028178,0.025212,0.12936,0.086611,0.20731,0.20819,0.034076,0.088197,-0.071619,0.011782,0.045857,-0.020893,0.14356,0.19117,-0.030843,-0.098758,-0.12483,0.019069,0.042193,-0.26689,-0.1609,0.11406,-0.061287,-0.064187,0.019237,-0.069182,-0.10896,0.08605,-0.018683,0.043132,0.010714,0.040749,-0.12219,-0.023441,-0.077413,0.078083,-0.029485,0.056668,0.0041541,-0.029948,0.16165,0.013829
"Serine",-0.017844,0.0030938,-0.015266,0.012587,0.022743,0.010806,0.0043637,0.011149,0.0194,-0.0063004,-0.020825,0.0018595,0.010133,0.0055861,-0.026497,0.0011248,-0.012153,0.032461,-0.012493,-0.030107,-0.044851,-0.0014222,0.054213,0.031145,0.0017941,0.007354,-0.017095,-0.02636,-0.04914,0.028487,-0.049177,-0.016004,0.028011,0.061556,-0.014789,0.058383,-0.044069,0.0077681,-0.05082,0.0025861,-0.0014969,-0.066812,-0.061016,0.013052,-0.039739,-0.032724,0.070877,0.039992,-0.092889,-0.12345,0.13261,-0.01997,-0.052737,-0.012499,0.084615,0.013697,0.023221,0.058313,-0.034375,0.30518
"Succinic acid",-0.036044,0.098384,0.00021182,0.055838,-0.035224,-0.013585,-0.048639,-0.014895,-0.01907,-0.039559,0.0043275,0.04408,0.025598,-0.034803,0.035328,0.0084872,0.032604,0.083663,-0.03754,-0.030986,0.0089809,-0.07191,0.04015,-0.045729,0.017674,0.022609,-0.047479,-0.0072324,-0.016369,-0.0082645,0.049059,-0.052333,-0.12795,-0.054987,0.0076826,-0.017932,0.075217,-0.049008,0.10233,-0.1465,-0.078673,0.051658,-0.0046,0.042646,0.073331,0.0025037,0.10293,0.055866,-0.065841,0.023424,0.080878,-0.010917,0.031729,0.16626,0.016658,-0.099837,0.063703,0.11258,-0.12351,-0.013967
"Taurine",-0.0038383,0.0034,-0.037986,0.018643,-0.063171,0.002146,-0.03433,-0.015162,-0.03191,0.026306,0.042283,0.022829,-0.013775,-0.040082,-0.039267,0.017977,0.035599,0.02757,-0.048847,-0.0053159,-0.012444,-0.031972,-0.057005,0.015527,-0.04169,-0.055738,0.057039,0.084841,-0.010037,-0.03558,0.011808,0.04486,-0.005053,-0.029905,-0.007004,-0.072203,-0.10581,-0.014709,0.030844,0.073426,-0.07945,0.0052411,0.0022044,0.036331,-0.048126,0.034263,-0.098183,0.054376,0.09811,-0.10972,-0.018934,0.076958,-0.023377,-0.10343,-0.12798,-0.074466,0.10524,0.075268,0.059202,-0.12906
"Taurocholic acid",0.0012972,0.061545,0.056852,0.0739,0.024817,0.056907,0.027034,0.0024757,0.010504,-0.03599,-0.022547,-0.0090314,-0.0090696,0.024229,0.056583,-0.10888,-0.066724,-0.0058602,-0.01812,-0.091609,-0.065696,0.14693,-0.021622,0.00626,-0.025904,-0.11763,-0.0082899,-0.012315,-0.10524,0.039686,-0.072086,-0.010703,0.019457,0.029003,-0.063193,0.12049,0.032471,-0.061874,-0.1462,0.051928,0.02472,-0.00042161,-0.062786,-0.057915,-0.048941,0.13113,-0.044253,-0.06009,-0.092501,-0.044018,0.0079619,-0.011473,0.0040946,0.037695,0.21211,0.19139,0.00069296,0.10705,-0.024145,0.031354
