"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60"
"Hydroxy-glutamic acid",-0.0019916,0.054215,0.068739,0.058089,0.018175,0.0291,0.011514,-0.010002,0.0081998,-0.038567,-0.041063,0.045017,-0.022306,-0.054034,-0.03345,0.035176,-0.0023824,-0.012817,0.090601,0.024278,0.10912,0.019155,-0.041301,-0.0034218,-0.055453,0.1004,-0.037538,0.064491,-0.041879,0.054272,0.078851,-0.042781,0.074314,-0.017908,0.033464,0.017176,0.084081,0.075273,-0.054865,0.03575,0.070562,-0.0081168,0.088927,0.033756,0.065518,0.094055,-0.043477,0.038007,0.021701,0.017993,0.10228,-0.042097,-0.065687,0.012919,0.041293,0.17096,-0.029115,-0.13361,-0.050995,0.10947
"Hydroxy-indoleacetic acid",0.048664,-0.03937,0.099418,0.14128,0.017436,-0.10074,0.015878,0.034468,-0.056145,0.015408,-0.0019339,-0.075749,0.11289,-0.09521,0.059089,0.081589,0.085193,0.20461,0.0059895,0.012658,0.035135,0.24058,-0.14907,-0.011948,0.021015,0.15516,-0.075718,-0.21161,0.021581,-0.074504,0.037502,0.0062073,-0.010246,-0.11385,-0.045064,0.09771,-0.023731,0.12124,0.15785,-0.0097348,-0.015456,0.12951,0.10012,-0.13903,-0.056302,-0.038832,0.011021,0.23416,-0.047689,-0.1729,0.028429,0.18115,0.1098,0.1272,-0.093363,0.07384,-0.12175,0.049808,0.012359,0.008053
"Hydroxy-kynurenine",0.07663,-0.11668,0.0038661,0.048507,0.026524,0.037237,0.068725,0.076399,0.17185,0.074438,-0.062611,-0.16695,-0.066474,0.1845,0.10671,-0.10767,0.0087915,0.012524,0.17189,-0.018406,-0.13978,-0.067732,-0.16123,-0.064375,0.017996,0.20911,0.20816,-0.1529,0.27329,0.038409,0.082842,0.14259,-0.042871,0.10113,-0.10954,0.083387,0.025278,0.18907,-0.022343,0.093712,0.11181,-0.11143,0.04654,-0.0021517,0.017523,-0.047667,-0.18014,-0.052584,0.11041,0.056242,0.12801,-0.19078,0.093992,0.012292,-0.10267,0.11343,0.014301,0.21395,0.045267,-0.012832
"Hydroxy-proline",0.013574,0.033721,0.036277,0.025857,-0.0478,0.029006,0.046547,-0.0038752,-0.08507,-0.030372,-0.088568,-0.019007,0.055423,-0.036065,0.033126,0.0097021,-0.023467,-0.14101,0.065038,-0.015135,-0.011296,-0.027565,-0.025574,0.029989,-0.20932,0.034917,0.023941,-0.031671,-0.035295,0.062231,-0.014186,0.11661,0.066686,-0.038168,0.12084,0.080541,-0.011085,-0.047251,-0.072401,-0.0561,0.068783,0.21213,0.073781,0.25813,-0.11691,0.047759,-0.065138,0.09226,-0.092281,0.027348,-0.23996,-0.060291,0.054786,0.02854,-0.031196,0.10763,0.15938,0.051503,-0.11619,-0.0088074
"Hydroxyanthranilic acid",0.046644,-0.11204,-0.039394,0.074441,0.082189,0.092218,-0.055145,-0.35694,0.19547,-0.17382,-0.27452,-0.055254,-0.03002,-0.087883,0.080745,-0.3716,-0.12141,0.10981,0.30278,0.012029,-0.27444,-0.0061875,0.094118,-0.079425,0.083918,-0.13657,0.0025456,0.061399,-0.039831,-0.20826,0.084681,-0.067814,-0.1314,-0.076993,0.10268,0.017526,-0.0841,-0.090148,0.017657,0.020834,-0.082891,-0.063763,0.041325,0.098263,-0.046878,-0.050385,0.073386,-0.030691,-0.010372,-0.014124,-0.12984,-0.011351,-0.005189,0.036067,0.021634,-0.026518,-0.026522,-0.061182,-0.016513,0.025733
"Hydroxybenzoic acid",-0.029431,-0.046506,-0.044341,-0.098438,-0.1835,0.036504,-0.14364,0.11954,0.22339,-0.27302,0.058996,-0.045296,-0.049067,0.086092,0.046793,0.10565,0.11197,-0.010797,-0.084162,-0.096826,-0.19272,-0.117,-0.30891,0.049073,0.016157,0.14393,-0.21507,-0.16858,0.068683,-0.080642,-0.047725,0.11732,0.044712,0.1674,0.19941,0.014973,-0.02336,0.039268,-0.12583,0.055711,-0.10984,0.062348,0.033322,0.0067197,-0.10512,0.049168,0.13176,-0.079074,0.10126,0.011722,-0.15284,0.22846,-0.18964,-0.064514,0.019403,0.0092458,0.050156,-0.064785,-0.065966,0.027171
"Hydroxyglutaric acid",-0.023667,0.049976,0.035538,0.0080486,-0.021137,0.025913,0.062046,-0.032025,0.03186,0.042133,0.026004,0.020498,-0.030589,-0.027005,0.025695,-0.0064244,0.0066667,-0.036767,-0.082806,0.057713,-0.035513,0.022392,-0.065578,-0.038725,-0.00010867,0.028203,0.018605,-0.052842,-0.090861,-0.066907,0.0029768,0.035421,-0.12034,0.00017012,0.073631,-0.030107,-0.16173,-0.064904,0.026183,0.039651,-0.074242,-0.13174,0.14326,-0.0072239,0.0030972,0.10906,-0.024622,-0.033219,0.19299,0.13338,0.032375,0.0069801,-0.001465,0.031164,-0.012396,0.048096,0.01802,-0.027321,-0.059814,-0.025693
"Hydroxynicotinic acid",0.013874,-0.011932,0.041775,-0.14137,-0.17188,-0.054335,0.010879,-0.053845,0.14777,0.037218,0.14568,0.059189,0.16627,-0.0022893,-0.11248,-0.029493,-0.17867,0.02233,-0.037386,0.17779,-0.043676,0.035171,0.019509,0.010949,0.078236,0.026167,-0.11459,0.22149,0.29566,-0.07996,-0.14495,-0.12428,0.069602,-0.033538,-0.12367,0.057632,-0.013911,0.055557,-0.26983,-0.10873,-0.079972,0.048761,0.12415,0.10435,0.068297,0.049237,-0.024724,0.071139,-0.1519,0.069566,-0.012324,0.027807,0.24785,0.0432,0.040531,-0.18117,0.013121,0.113,0.035656,-0.143
"Hydroxyphenyl-pyruvic acid",0.081015,-0.1846,-0.11121,0.070146,0.030404,0.13865,-0.037379,-0.069118,-0.0022075,-0.0045021,0.066829,-0.098358,0.061464,0.016067,-0.0088529,-0.028376,0.064673,-0.046705,-0.070335,0.090345,0.00054488,0.29722,0.026967,-0.17646,0.12385,-0.096124,-0.14778,-0.10866,0.12337,-0.015752,0.071995,0.095271,0.049626,-0.0816,-0.06326,-0.057419,0.001512,-0.15113,0.0067383,-0.064788,-0.023847,0.12081,-0.047855,-0.19658,-0.021146,0.11567,0.060136,0.052997,0.16948,0.01851,0.17513,-0.065337,-0.030427,-0.05539,-0.11595,0.010431,0.036207,0.018861,-0.064562,-0.043856
"Hydroxyphenylacetic acid",-0.0067117,-0.051617,-0.06742,-0.017085,-0.042121,-0.13515,-0.18688,0.27561,0.026272,0.016061,0.15691,0.068791,0.0061183,-0.075943,0.062546,0.028103,0.063208,0.022841,0.062509,0.15444,-0.091817,0.13743,-0.091379,-0.13875,0.14316,-0.12092,-0.039654,0.01,-0.0038952,0.042941,-0.002972,-0.042007,0.075051,-0.24219,0.19025,-0.00012627,0.074507,-0.18863,0.044002,0.18084,0.03208,-0.10782,-0.03982,0.21566,0.18015,-0.030465,0.10924,0.015544,0.13997,0.15976,-0.053697,-0.11648,0.11383,-0.12858,0.04785,0.027709,-0.058922,0.037032,-0.0049391,0.10574
